Model,Config_ID,Window_Size,Horizon,AUROC,AUPRC,F1,Recall,Specificity,Parameters,Notes
LSTM,w12_h0,12h,0h,0.7450282762663818,0.0969950845000124,0.1446051167964405,0.3221010901883052,0.925709182354462,150337,Milestone 7A validation config
GRU,w12_h0,12h,0h,0.7764362435884276,0.0947253814765444,0.1422136422136422,0.4380574826560951,0.8880114691297093,112769,Milestone 7A validation config
BiLSTM,w12_h0,12h,0h,0.7930800403364013,0.0950615454659541,0.1350881549540601,0.5391476709613479,0.8472114503278573,333441,Milestone 7A validation config
Transformer,w12_h0,12h,0h,0.7887760886469121,0.0986783649157947,0.1028694404591104,0.7106045589692765,0.7129427248583986,92097,Milestone 7A validation config
GRU (Selected),w6_h0,6h,0h,0.7674926386342562,0.0828097120410877,0.1066210755362138,0.5664739884393064,0.7883721378831426,112769,Milestone 7B experimental matrix on w6_h0
GRU (Selected),w24_h0,24h,0h,0.792238341148787,0.1156787607786776,0.1551426929706952,0.5480378890392422,0.8397531640594292,112769,Milestone 7B experimental matrix on w24_h0
GRU (Selected),w12_h3,12h,+3h,0.7527765548308266,0.0851617577746033,0.1368117700591536,0.4880952380952381,0.8626625256619467,112769,Milestone 7B experimental matrix on w12_h3
GRU (Selected),w12_h6,12h,+6h,0.7721796052762702,0.1018267443103814,0.1298776936517181,0.5204200700116686,0.8341133335320595,112769,Milestone 7B experimental matrix on w12_h6
BiLSTM (Final),w12_h0,12h,0h,0.7899143204356868,0.12375583600519639,0.12878532027468198,0.5668979187314173,0.828386096030459,333441,50% representative sample final evaluation run on w12_h0 (CPU optimized)
BiLSTM (Final),w6_h0,6h,0h,0.7897609123724257,0.09356389704886964,0.11442786069651742,0.6267547481420314,0.7821029686927335,333441,50% representative sample final evaluation run on w6_h0 (CPU optimized)
BiLSTM (Final),w24_h0,24h,0h,0.7666812327734424,0.10395903482589702,0.1590160333845816,0.489851150202977,0.8643188428582659,333441,50% representative sample final evaluation run on w24_h0 (CPU optimized)
BiLSTM (Final),w12_h3,12h,+3h,0.7665829185378326,0.09506987458938515,0.11303344867358708,0.5833333333333334,0.787492762015055,333441,50% representative sample final evaluation run on w12_h3 (CPU optimized)
BiLSTM (Final),w12_h6,12h,+6h,0.7528970222692842,0.07954838192504263,0.17803721269609632,0.2847141190198366,0.9511133633409843,333441,50% representative sample final evaluation run on w12_h6 (CPU optimized)
