Feature,SHAP_Rank,Mean_Abs_SHAP,IG_Rank,Mean_Abs_Attribution
ICULOS,1,0.0492946852110187,1,2.0067577
Unit2,2,0.0366311302909263,8,0.27676344
HospAdmTime,3,0.0342577572035157,50,0.08041317
hours_since_last_Lactate,4,0.0260081817894868,4,0.39334142
Temp,5,0.0208457011298677,2,0.4377871
HR_MAP_Ratio,6,0.0146390996407162,20,0.15432848
hours_since_last_pH,7,0.0144661715824691,6,0.31703046
WBC,8,0.0113041119404151,15,0.17733122
BUN,9,0.0108529196572028,31,0.12199613
Temp_roll_std_6h,10,0.0098816682473506,10,0.24713685
Creatinine,11,0.0098016967240745,21,0.15384503
Resp_roll_mean_6h,12,0.0076422372786863,32,0.12033882
FiO2,13,0.0057000658811398,76,0.026285335
Temp_roll_mean_6h,14,0.0043683180188827,29,0.13046682
hours_since_last_WBC,15,0.0042407449504491,62,0.052737795
Platelets,16,0.0036641200045386,17,0.16180485
Hgb,17,0.0033205058112908,25,0.14803208
PTT,18,0.0024702479705785,59,0.058153424
Alkalinephos,19,0.0022652590315315,14,0.19059353
hours_since_last_HCO3,20,0.0022424872153314,18,0.1615389
AST,21,0.0020569953235732,79,0.023379473
FiO2_measured,22,0.0020405146600092,5,0.39069557
Unit1,23,0.0020031175508961,80,0.023027344
EtCO2,24,0.0019303199565678,63,0.05270958
hours_since_last_Platelets,25,0.0018413350850223,71,0.040167138
O2Sat_roll_std_6h,26,0.0018157409187652,26,0.13987765
Age,27,0.0015207035729337,52,0.07771778
Hct,28,0.0014737793677594,7,0.3033906
Bilirubin_total,29,0.0011021016416223,36,0.11573399
Phosphate,30,0.0010906815411414,41,0.10196133
MAP_roll_mean_6h,31,0.0010393155597756,65,0.050713748
MAP_roll_std_6h,32,0.0009252952542345,40,0.10197245
O2Sat_roll_mean_6h,33,0.000912137251033,47,0.08833227
HR_roll_std_6h,34,0.0009013541145716,49,0.0813163
DBP,35,0.0008962935349718,30,0.13002601
HR,36,0.0007201071840815,28,0.13478638
pH,37,0.0006310171279345,45,0.09173003
Potassium,38,0.0005159458935443,23,0.15337451
Shock_Index,39,0.0005048057012553,22,0.15378915
Glucose,40,0.0004592682526742,57,0.068704866
Calcium,41,0.0004526634176246,24,0.15018646
SBP,42,0.0004386025971685,19,0.15507965
TroponinI,43,0.0003765104116334,70,0.041780636
Resp_O2Sat_Ratio,44,0.0003675465402248,33,0.119827926
SaO2,45,0.0002881419871038,60,0.056745477
Gender,46,0.0002845952261253,27,0.13728312
HR_roll_mean_6h,47,0.0001951959306912,51,0.07915377
HR_Temp_Ratio,48,0.0001523444225649,46,0.08998466
Resp_roll_std_6h,49,0.0001452120530177,12,0.19245794
MAP_deviation,50,0.000144685019924,55,0.06975097
BaseExcess,51,0.0001390919974297,16,0.16780163
Alkalinephos_measured,52,0.0001299050877497,72,0.034332383
HCO3,53,0.0001092634180875,39,0.10786876
Chloride,54,0.0001084714390148,56,0.06964965
SaO2_measured,55,1.7521370524098135e-05,77,0.025189657
hours_since_last_BUN,56,0.0,64,0.051859025
Platelets_measured,57,0.0,85,0.017868381
HR_diff_1h,58,0.0,3,0.40818736
First_24h_Flag,59,0.0,37,0.11545059
Temp_diff_1h,60,0.0,9,0.2670205
Resp_diff_1h,61,0.0,68,0.046633836
O2Sat_diff_1h,62,0.0,61,0.05390043
Pulse_Pressure,63,0.0,34,0.11602784
hours_since_last_Creatinine,64,0.0,13,0.19125012
BUN_measured,65,0.0,91,0.009501312
Fibrinogen_measured,66,0.0,94,0.0018063203
WBC_measured,67,0.0,84,0.017937046
MAP,68,0.0,58,0.062002372
Resp,69,0.0,43,0.09491622
PaCO2,70,0.0,42,0.09936909
Bilirubin_direct,71,0.0,73,0.033214293
Lactate,72,0.0,38,0.108795576
Magnesium,73,0.0,67,0.047385305
Fibrinogen,74,0.0,69,0.042635933
BaseExcess_measured,75,0.0,78,0.024788283
HCO3_measured,76,0.0,90,0.011705488
pH_measured,77,0.0,48,0.087542646
PaCO2_measured,78,0.0,54,0.072839715
AST_measured,79,0.0,75,0.027568746
O2Sat,80,0.0,11,0.21209463
Calcium_measured,81,0.0,83,0.01961196
Chloride_measured,82,0.0,82,0.020145537
Creatinine_measured,83,0.0,87,0.014224651
Bilirubin_direct_measured,84,0.0,95,9.6810516e-05
Glucose_measured,85,0.0,35,0.115998
Lactate_measured,86,0.0,44,0.09260954
Magnesium_measured,87,0.0,66,0.04767097
Phosphate_measured,88,0.0,92,0.0046893256
Potassium_measured,89,0.0,89,0.013475958
Bilirubin_total_measured,90,0.0,81,0.02087128
TroponinI_measured,91,0.0,93,0.0032928037
Hct_measured,92,0.0,86,0.01440861
Hgb_measured,93,0.0,74,0.02946122
PTT_measured,94,0.0,88,0.013822664
Diurnal_Proxy_Hour,95,0.0,53,0.07302583
