Feature,Importance
ICULOS,0.06784027549587636
Temp,0.025625075365645088
Temp_roll_mean_6h,0.0227502349185729
HospAdmTime,0.021569433355694185
WBC,0.021116637115843336
MAP_deviation,0.019361296309639228
Platelets,0.019190378466854802
BUN,0.017799533482546308
Resp_roll_mean_6h,0.017625130558658803
HR_MAP_Ratio,0.017469072452510854
Glucose,0.01722774806380908
HR_roll_mean_6h,0.017041505356632368
MAP_roll_mean_6h,0.01687796933744733
HR_roll_std_6h,0.016660614464846374
O2Sat_roll_std_6h,0.01649654335897593
HR_Temp_Ratio,0.016470947414859768
Resp_O2Sat_Ratio,0.016431314170857962
Age,0.016361578367206454
Temp_roll_std_6h,0.01629707669990457
MAP_roll_std_6h,0.016213112441153
Calcium,0.01586554489796599
AST,0.0157234876405605
SBP,0.015674018241357272
hours_since_last_Lactate,0.015604146068184036
Pulse_Pressure,0.015333282822196028
HR_diff_1h,0.015171199284880858
Hct,0.015155673368925307
Shock_Index,0.015035287085354726
Creatinine,0.014568534715432912
Chloride,0.014499537303825309
Resp_roll_std_6h,0.014468860068312875
pH,0.014406137781861889
DBP,0.01438470345303351
Magnesium,0.014315388257708478
Hgb,0.01401668619247479
Alkalinephos,0.014000727730270196
Phosphate,0.013902592246531726
Resp_diff_1h,0.013833952685000867
O2Sat_diff_1h,0.013642301734655155
Potassium,0.013610243751499083
Bilirubin_total,0.013502955738165142
hours_since_last_pH,0.012938852478549121
Lactate,0.01287277130255549
PTT,0.012762689506084685
PaCO2,0.012101620078026981
Temp_diff_1h,0.011883561963527736
SaO2,0.011865077680442312
Resp,0.01169888276355578
O2Sat_roll_mean_6h,0.011625143390507745
HR,0.011369989517628154
HCO3,0.010657545633286764
MAP,0.010645477147550977
FiO2,0.010482668113432571
Fibrinogen,0.010019166612030974
Diurnal_Proxy_Hour,0.00991366750936247
TroponinI,0.00932279600226059
O2Sat,0.009245700051132946
BaseExcess,0.00908825217436556
hours_since_last_Creatinine,0.008744546409518916
hours_since_last_HCO3,0.007795392413482205
hours_since_last_Platelets,0.0076934135723954284
hours_since_last_BUN,0.007663167216779768
hours_since_last_WBC,0.007399783667124958
Bilirubin_direct,0.006868653211504917
EtCO2,0.004743437288820955
PaCO2_measured,0.002802199518503397
BaseExcess_measured,0.0025535420973183537
Lactate_measured,0.002416965489264326
Unit2,0.0022499088304964126
Gender,0.0018766381817045185
pH_measured,0.001867019906163946
Unit1,0.001843110410716489
FiO2_measured,0.00183266624822326
First_24h_Flag,0.0018301731955908454
SaO2_measured,0.0015805029769120939
Potassium_measured,0.0014699060139188322
Glucose_measured,0.001293767042165404
Chloride_measured,0.0012521030410977637
Phosphate_measured,0.0011285313755807623
PTT_measured,0.0010848614681783224
TroponinI_measured,0.0010306078562480534
Bilirubin_total_measured,0.0009085919345813795
Hct_measured,0.0008646024480398325
Calcium_measured,0.0008226665575033649
AST_measured,0.0007951295941273317
BUN_measured,0.0007631545222650636
Creatinine_measured,0.0007573935718120447
Magnesium_measured,0.0007098037145298593
Bilirubin_direct_measured,0.0006988750878072804
Hgb_measured,0.000635119897214479
Alkalinephos_measured,0.0006175770079688846
WBC_measured,0.0005433259103031704
HCO3_measured,0.0004499043660226414
Fibrinogen_measured,0.0004412811952387982
Platelets_measured,0.0003370765708439068
