Feature,Mean,Scale,Variance
HR,-6.060864736474123e-16,0.9999999999999996,0.9999999999999991
O2Sat,4.79365009630317e-16,0.9999999999999996,0.9999999999999991
Temp,-1.6374589704643366e-14,1.0,1.0
SBP,4.554019912488844e-16,1.0,1.0000000000000002
MAP,3.6122418974980445e-16,1.0,1.0
DBP,1.3693452337966226e-15,1.0,1.0
Resp,3.055023238628488e-16,0.9999999999999999,0.9999999999999998
EtCO2,-8.984562263012228e-16,0.9999999999999999,0.9999999999999998
BaseExcess,-1.3184892209871194e-17,0.9999999999999998,0.9999999999999996
HCO3,-1.85169254047441e-15,0.9999999999999998,0.9999999999999996
FiO2,-5.5591063384873586e-18,0.9999999999999999,0.9999999999999998
pH,5.3138568791835877e-14,1.0,1.0000000000000002
PaCO2,1.5235875442517824e-16,0.9999999999999996,0.9999999999999991
SaO2,-1.178792148763484e-15,0.9999999999999998,0.9999999999999996
AST,1.1876867189050639e-17,0.9999999999999994,0.9999999999999989
BUN,5.106529681283446e-17,1.0,1.0000000000000002
Alkalinephos,8.656509587790432e-17,1.0000000000000002,1.0000000000000004
Calcium,2.0838931421704753e-15,1.0,1.0
Chloride,-3.997324463627616e-16,1.0,1.0000000000000002
Creatinine,-1.1092052176558306e-16,0.9999999999999997,0.9999999999999993
Bilirubin_direct,3.222973651301847e-17,0.9999999999999999,0.9999999999999998
Glucose,-2.66313894239065e-16,1.0,1.0000000000000002
Lactate,7.053132517268596e-16,1.0,1.0000000000000002
Magnesium,1.0309853214107614e-15,1.0000000000000002,1.0000000000000007
Phosphate,-9.418826569924652e-16,0.9999999999999997,0.9999999999999993
Potassium,-1.1206111958373858e-15,0.9999999999999999,0.9999999999999998
Bilirubin_total,1.234775619654604e-16,1.0000000000000002,1.0000000000000007
TroponinI,4.551927072455531e-17,1.0,1.0
Hct,-2.302280999646675e-15,0.9999999999999999,0.9999999999999998
Hgb,-1.0103446865822131e-15,1.0000000000000002,1.0000000000000004
PTT,-6.620699445385321e-16,0.9999999999999994,0.9999999999999989
WBC,-4.1103378254265115e-16,1.0,1.0
Fibrinogen,1.7213609273998503e-16,0.9999999999999998,0.9999999999999996
Platelets,1.5968369454177334e-16,1.0000000000000002,1.0000000000000004
Age,5.415223586197097e-18,0.9999999999999999,0.9999999999999998
HospAdmTime,3.6520058581309893e-17,0.9999999999999998,0.9999999999999996
ICULOS,-3.8769861617121246e-17,1.0,1.0
Shock_Index,0.7059879311333812,0.19902892176292697,0.039612511698113306
Pulse_Pressure,60.00883041430882,19.57297009790647,383.1011584535408
MAP_deviation,-1.1233044130840042,7.2356158334803204,52.35413648971111
HR_MAP_Ratio,1.0568591393973763,0.28512243975357726,0.0812948056510323
Resp_O2Sat_Ratio,0.19276756892191474,0.05161685942131835,0.0026643001765201406
HR_Temp_Ratio,2.2858436070016084,0.45637871039648964,0.20828152730316296
HR_roll_mean_6h,84.34915436881074,15.751273897283491,248.10262938724426
Resp_roll_mean_6h,18.621692182972577,3.9956764875375104,15.965430593060095
Temp_roll_mean_6h,36.8700903409558,0.6086825486910986,0.3704944450810916
MAP_roll_mean_6h,82.41387615254526,13.42851410696229,180.32499112088522
O2Sat_roll_mean_6h,97.28897031210307,2.1904513164509822,4.798076969741841
HR_roll_std_6h,5.344796799750522,4.273982094996807,18.266922948353297
Resp_roll_std_6h,2.3980986579850376,1.7478950533579798,3.0551371175532953
Temp_roll_std_6h,0.20868552475495195,0.2123385794959673,0.04508767234236522
MAP_roll_std_6h,7.133705837930872,4.71621980811657,22.242729278471096
O2Sat_roll_std_6h,1.2593525786608533,1.210456289936199,1.4652044298461073
HR_diff_1h,0.008667054479048928,7.6760869813855255,58.92231134579635
Temp_diff_1h,0.002835169305877171,0.2838138000857682,0.08055027311912437
Resp_diff_1h,0.03607115375410977,3.7439270593555714,14.016989825774855
O2Sat_diff_1h,-0.03477931511842391,2.2093691432599996,4.881312011189424
hours_since_last_Lactate,706.7052987934862,449.1702744073106,201753.9354111387
hours_since_last_Creatinine,220.16168830929755,406.37326362325973,165139.22938781936
hours_since_last_WBC,232.19157502144628,414.1849275898511,171549.1542426102
hours_since_last_Platelets,230.02791328711493,412.760597935332,170371.3112079328
hours_since_last_BUN,211.6854273974721,400.439408091268,160351.71955248507
hours_since_last_pH,549.8428669521261,492.29807365146445,242357.39332094273
hours_since_last_HCO3,567.8826861407391,491.26901252631245,241345.24266857814
Diurnal_Proxy_Hour,10.737588776513297,6.632245660997249,43.98668250781684
