Feature,Split,Lower_IQR,Upper_IQR,IQR_Outliers_Count,IQR_Outliers_Pct,Lower_Clip_Limit,Upper_Clip_Limit,Clipped_Outliers_Count,Clipped_Outliers_Pct
HR,Train,37.5,129.5,11962,1.1,40.0,150.0,2044,0.19
HR,Val,37.5,129.5,2502,1.08,40.0,150.0,404,0.17
HR,Test,37.5,129.5,2786,1.19,40.0,150.0,474,0.2
O2Sat,Train,91.5,103.5,29960,2.76,71.0,100.0,1082,0.1
O2Sat,Val,91.5,103.5,6675,2.88,71.0,100.0,265,0.11
O2Sat,Test,91.5,103.5,6673,2.85,71.0,100.0,311,0.13
Temp,Train,35.33,38.45,29088,2.68,33.7,39.5,1988,0.18
Temp,Val,35.33,38.45,5973,2.58,33.7,39.5,373,0.16
Temp,Test,35.33,38.45,5844,2.49,33.7,39.5,470,0.2
SBP,Train,64.5,180.5,16898,1.56,62.0,212.0,1989,0.18
SBP,Val,64.5,180.5,3369,1.46,62.0,212.0,382,0.17
SBP,Test,64.5,180.5,3577,1.53,62.0,212.0,438,0.19
MAP,Train,41.24,121.93,20309,1.87,39.0,151.0,2112,0.19
MAP,Val,41.24,121.93,4452,1.92,39.0,151.0,436,0.19
MAP,Test,41.24,121.93,4575,1.95,39.0,151.0,495,0.21
DBP,Train,39.0,87.0,58626,5.4,29.5,126.0,2106,0.19
DBP,Val,39.0,87.0,12674,5.48,29.5,126.0,526,0.23
DBP,Test,39.0,87.0,12799,5.46,29.5,126.0,450,0.19
Resp,Train,8.5,28.5,48523,4.47,5.0,43.0,1792,0.16
Resp,Val,8.5,28.5,10322,4.46,5.0,43.0,339,0.15
Resp,Test,8.5,28.5,10142,4.33,5.0,43.0,519,0.22
EtCO2,Train,33.0,33.0,51211,4.71,13.0,49.5,1983,0.18
EtCO2,Val,33.0,33.0,10249,4.43,13.0,49.5,334,0.14
EtCO2,Test,33.0,33.0,11161,4.76,13.0,49.5,342,0.15
