,HR,O2Sat,Temp,SBP,MAP,DBP,Resp,EtCO2,BaseExcess,HCO3,FiO2,pH,PaCO2,SaO2,AST,BUN,Alkalinephos,Calcium,Chloride,Creatinine,Bilirubin_direct,Glucose,Lactate,Magnesium,Phosphate,Potassium,Bilirubin_total,TroponinI,Hct,Hgb,PTT,WBC,Fibrinogen,Platelets,Age,Gender,HospAdmTime,ICULOS
HR,1.0,-0.07565137721606778,0.2589012184890883,-0.0337104984882246,0.06977666998645468,0.12935947749352789,0.2259941564887378,0.02254121967839442,-0.09136739169656381,-0.09212075728548462,0.003951046687022049,-0.09981588465046559,0.02531555599002701,-0.010730960178901539,0.05734212588928845,-0.02659960663827825,0.05213628017429464,-0.09612357007731218,0.013944047734096366,-0.018582918187389667,0.029377072673560867,0.08363849733173673,0.1447318947365277,-0.06452659001993213,-0.046568693772433646,0.011283449261137515,0.02079354734869943,0.0046611364213436715,-0.08078049523336167,-0.08051893749825757,0.01053935482055387,0.13234890615022166,0.07518476555240931,0.026031932809206883,-0.15725457309799623,-0.03085053769386279,-0.054157704978126824,0.04536402094550245
O2Sat,-0.07565137721606778,1.0,-0.030199982198830813,0.0249088739125737,0.02555258442755111,0.0007812687808769676,-0.1474932054787943,-0.0007165759932660604,0.03243885543329308,-0.06074883144623274,-0.0007180202779464573,0.11334581457748906,-0.1181990725609154,0.10322452995293156,-0.015069040439668382,-0.04502696675055477,-0.019154863717520298,-0.039467651879866276,0.15918569982343322,-0.013802753380940802,0.0008181914673331146,-0.02791391916531808,-0.1711448722922597,-0.024578017321522157,-0.04873604063293041,-0.023148801512770576,-0.016952486500237795,-0.0031445633647936865,-0.11892824559689924,-0.10211340129216338,-0.07253081698465542,-0.026618337142370017,-0.07444941625368465,-0.024119272827883804,-0.0491948309469163,-0.03128106285777201,-0.01030666936561011,-0.04421237036342588
Temp,0.2589012184890883,-0.030199982198830813,1.0,0.0022970736179171243,-0.06254307008294066,-0.10630840338045787,0.12091333721426191,0.1897817866006483,0.14849223901254072,0.07927629675808047,-0.005342979791887476,0.20564336187170382,-0.044499094199509454,-0.009446260446341878,-0.0057616759026479294,-0.11775899037412974,-0.03724190074859877,0.010313006058968037,-0.04417769594370497,-0.08349331091811185,-0.026787547335973615,-0.07115252549512742,-0.22680486422834586,-0.048120000650799105,-0.1519264767440951,0.05330801278492706,-0.02517982255806416,0.014464685496982231,-0.042780562052387755,-0.034831327437461215,-0.11390361786821351,0.03715825098019124,0.25569017989709714,0.0004583372402673913,-0.0709714145339337,0.052945117620509304,0.001160637267183202,0.08542652661618615
SBP,-0.0337104984882246,0.0249088739125737,0.0022970736179171243,1.0,0.7804689542853643,0.5397393231570392,0.045886877071708784,0.08903823529212371,0.15123167942827448,0.05807820598451597,-0.0046060367082481155,0.12264758338125009,0.010828418235872541,0.10600154496594899,-0.0008877441275035342,0.004796300925951043,-0.029191503870984195,0.04432999928661534,-0.038787692996809876,0.07870619429379265,-0.046879543262342074,0.04627650755211015,-0.12540047441923455,-0.02683959564020786,-0.02684187880487405,-0.09534448744460362,-0.0296444752597194,-0.10451535813110825,0.09449553867606568,0.07569902057408479,-0.1022426416984621,-0.038851352103764766,0.04951440905999163,0.026491454554655732,0.024524333382277597,-0.015066308042552837,0.03481946495021814,0.056302049353276276
MAP,0.06977666998645468,0.02555258442755111,-0.06254307008294066,0.7804689542853643,1.0,0.8523147018459588,0.04908082401528297,0.0828853992557964,0.11123910132723541,0.022241775905115696,-0.004029730302047227,0.09436957208487362,0.0009041174459686269,0.09012224868502856,0.009768563328894638,-0.046400543013781395,-0.019275696664839675,0.03260639422972283,-0.0038503226751553893,0.06376129415231026,-0.05875381332097689,0.043359840152385976,-0.07588274340111716,-0.041071621394753434,-0.03363834243463221,-0.09638297174361944,-0.03873980457508981,-0.05102356606688513,0.17781270514225847,0.1493658371791032,-0.06675271556499447,-0.04521414808480343,0.04865315615138769,0.0450859197140108,-0.14873828404013978,0.0022637076762264774,0.0374958304349361,0.03262761414437276
DBP,0.12935947749352789,0.0007812687808769676,-0.10630840338045787,0.5397393231570392,0.8523147018459588,1.0,0.06188299164218768,0.0706921229982063,0.080084521505877,0.023648872796009936,-0.0029334517814990782,0.06446557160028285,0.000858730119663002,0.06466164493848295,0.008927321619286657,-0.04359475326771674,4.09029091519035e-05,0.06714382964324409,-0.0014194448626567607,0.0588373224139369,-0.04114419737667831,0.04180682201106976,-0.042662131628588285,-0.04364492728047118,-0.02927731951718854,-0.09466885171238504,-0.029196647021240967,-0.012078555009108222,0.2364470130342835,0.2086882163847521,-0.04617036855946267,-0.05225018129527652,0.043012199207584284,0.08719031051662883,-0.26553986100955984,0.026216391505673103,0.044143481932528865,0.012476691166738656
Resp,0.2259941564887378,-0.1474932054787943,0.12091333721426191,0.045886877071708784,0.04908082401528297,0.06188299164218768,1.0,-0.15912881240537477,-0.03394747570097497,-0.04124617808557013,-0.00010404605885648738,0.008306802981321132,-0.03127800534999289,-0.023561728389757387,0.02428006240156246,0.06976665691571476,0.06598968669853868,0.012642183205087757,-0.07986596052531574,0.022274734497417632,-0.0101136421329916,0.03708642681359166,0.13371964005190493,-0.005325094641736829,-0.032336722247321495,0.0095784691872608,0.0123788333271107,0.011235120590090663,0.01969525822648094,0.002802442084910475,0.059922078048340426,0.043930139674995865,0.11218616299618518,0.06627094553164299,0.032597320652523326,0.002871375537081074,-0.02674431533158729,0.09798322809422867
EtCO2,0.02254121967839442,-0.0007165759932660604,0.1897817866006483,0.08903823529212371,0.0828853992557964,0.0706921229982063,-0.15912881240537477,1.0,0.16344165863487267,0.28796334701228093,-0.05934495971339355,-0.04790608176170407,0.43041405715536685,0.056738904337149086,-0.16848689187568194,-0.03884601507642808,-0.0761953090819573,0.09163586300079346,-0.0416744052463592,-0.062286773107305904,-0.1173915417365613,-0.0073781435778349684,-0.294802760542922,0.043636184897210294,0.023024763175297645,-0.042816514042219304,-0.1262070468766014,-0.008237726754523809,0.1020655840170017,0.07007220213793718,-0.18041836781956794,-0.023125114234348126,0.16781155301951967,0.17653215652494042,-0.17640575577830403,-0.032540480343335475,0.006955561703794624,0.08990712492486021
BaseExcess,-0.09136739169656381,0.03243885543329308,0.14849223901254072,0.15123167942827448,0.11123910132723541,0.080084521505877,-0.03394747570097497,0.16344165863487267,1.0,0.8569300420090539,-0.13070762549547613,0.6506212227762252,0.35254481391842724,0.04430244344520722,-0.029664354214288657,-0.19341893094714535,-0.09741336623077859,0.19982919585773984,-0.31416036202156505,-0.23537433110642783,0.015443944358907748,-0.16415846035512996,-0.4478992786965003,-0.004635845990817335,-0.32060016647265066,-0.23263907909459855,0.04362488056622187,0.022170824715783917,-0.049356257225692944,-0.03330201885739897,-0.23137112077244365,-0.16571022598690605,0.12376607250052286,0.07922120593272423,-0.041593674602935504,0.023431181548421887,-0.01626758436198846,0.15453751318442974
HCO3,-0.09212075728548462,-0.06074883144623274,0.07927629675808047,0.05807820598451597,0.022241775905115696,0.023648872796009936,-0.04124617808557013,0.28796334701228093,0.8569300420090539,1.0,-0.08303534981934446,0.4007548418109292,0.5386531055526804,0.007461740137364637,-0.10226981166462047,-0.17249349188982338,-0.08854999062360883,0.23430341087246873,-0.3847675775358245,-0.18720940438918046,-0.0729864940597831,-0.12544320570657055,-0.40600133650398396,0.02692710629141995,-0.13802550653667398,-0.15525597864785945,-0.08749644461768509,-0.10388793433726591,0.048257742525423704,0.02637096908304999,-0.1309430715618753,-0.11726374966251552,0.09830524789473012,0.09284226795173309,0.020912881857368865,0.03976028536919903,-0.014731471449393373,0.1182896587128958
