Feature,Mean,Median,Std,Variance,Min,Max,Q1,Q3,IQR
HR,84.58,83.5,17.33,300.16,20.0,280.0,72.0,95.5,23.5
O2Sat,97.19,98.0,2.94,8.63,20.0,100.0,96.0,99.5,3.5
Temp,36.98,37.0,0.77,0.59,20.9,50.0,36.5,37.5,1.0
SBP,123.75,121.0,23.23,539.71,20.0,300.0,107.0,138.0,31.0
MAP,82.4,80.0,16.34,267.05,20.0,300.0,71.0,92.0,21.0
DBP,63.83,62.0,13.96,194.77,20.0,300.0,54.0,72.0,18.0
Resp,18.73,18.0,5.1,25.99,1.0,100.0,15.0,21.5,6.5
EtCO2,32.96,33.0,7.95,63.23,10.0,100.0,28.0,38.0,10.0
BaseExcess,-0.69,0.0,4.29,18.44,-32.0,100.0,-3.0,1.0,4.0
HCO3,24.08,24.0,4.38,19.15,0.0,55.0,22.0,26.8,4.8
FiO2,0.55,0.5,11.12,123.73,-50.0,4000.0,0.4,0.6,0.2
pH,7.38,7.38,0.07,0.01,6.62,7.93,7.34,7.43,0.09
PaCO2,41.02,40.0,9.27,85.88,10.0,100.0,35.0,45.0,10.0
SaO2,92.65,97.0,10.89,118.66,23.0,100.0,94.0,98.0,4.0
AST,260.22,41.0,855.75,732302.58,3.0,9961.0,22.0,111.0,89.0
BUN,23.92,17.0,19.99,399.77,1.0,268.0,12.0,28.0,16.0
Alkalinephos,102.48,74.0,120.12,14429.47,7.0,3833.0,54.0,108.0,54.0
Calcium,7.56,8.3,2.43,5.92,1.0,27.9,7.7,8.7,1.0
Chloride,105.83,106.0,5.88,34.58,26.0,145.0,102.0,109.0,7.0
Creatinine,1.51,0.94,1.81,3.26,0.1,46.6,0.7,1.43,0.73
Bilirubin_direct,1.84,0.44,3.69,13.65,0.01,37.5,0.2,1.7,1.5
Glucose,136.93,127.0,51.31,2632.79,10.0,988.0,106.0,153.0,47.0
Lactate,2.65,1.8,2.53,6.38,0.2,31.0,1.26,3.0,1.74
Magnesium,2.05,2.0,0.4,0.16,0.2,9.8,1.8,2.2,0.4
Phosphate,3.54,3.3,1.42,2.03,0.2,18.8,2.6,4.1,1.5
Potassium,4.14,4.1,0.64,0.41,1.0,27.5,3.7,4.4,0.7
Bilirubin_total,2.11,0.9,4.31,18.59,0.1,49.6,0.5,1.7,1.2
TroponinI,8.29,0.3,24.81,615.35,0.01,440.0,0.04,3.98,3.94
Hct,30.79,30.3,5.49,30.16,5.5,71.7,27.0,34.1,7.1
Hgb,10.43,10.3,1.97,3.88,2.2,32.0,9.1,11.7,2.6
PTT,41.23,32.4,26.22,687.37,12.5,250.0,27.8,42.8,15.0
WBC,11.45,10.3,7.73,59.77,0.1,440.0,7.6,13.8,6.2
Fibrinogen,287.39,250.0,153.0,23409.89,34.0,1760.0,184.0,349.0,165.0
Platelets,196.01,181.0,103.64,10740.29,1.0,2322.0,126.0,244.0,118.0
Age,62.01,64.0,16.39,268.51,14.0,100.0,51.68,74.0,22.32
HospAdmTime,-56.13,-6.03,162.26,26327.3,-5366.86,23.99,-47.05,-0.04,47.01
ICULOS,26.99,21.0,29.01,841.31,1.0,336.0,11.0,34.0,23.0
