Feature,MissingCount,MissingPercentage
Bilirubin_direct,1549220,99.81
Fibrinogen,1541968,99.34
TroponinI,1537429,99.05
Bilirubin_total,1529069,98.51
Alkalinephos,1527269,98.39
AST,1527027,98.38
Lactate,1510764,97.33
PTT,1506511,97.06
SaO2,1498649,96.55
EtCO2,1494574,96.29
Phosphate,1489909,95.99
HCO3,1487182,95.81
Chloride,1481744,95.46
BaseExcess,1468065,94.58
PaCO2,1465909,94.44
Calcium,1460879,94.12
Platelets,1460001,94.06
Creatinine,1457594,93.9
Magnesium,1454259,93.69
WBC,1452763,93.59
BUN,1445642,93.13
pH,1444637,93.07
Hgb,1437619,92.62
FiO2,1422845,91.67
Hct,1414777,91.15
Potassium,1407685,90.69
Glucose,1286694,82.89
Temp,1026984,66.16
Unit1,611960,39.43
Unit2,611960,39.43
DBP,486554,31.35
Resp,238335,15.35
SBP,226265,14.58
O2Sat,202736,13.06
MAP,193270,12.45
HR,153399,9.88
Gender,0,0.0
Age,0,0.0
HospAdmTime,8,0.0
ICULOS,0,0.0
