Feature_A,Feature_B,Correlation
Bilirubin_total,Bilirubin_direct,0.964
Hgb,Hct,0.9522
BaseExcess,HCO3,0.8569
MAP,DBP,0.8523
SBP,MAP,0.7805
BaseExcess,pH,0.6506
Creatinine,BUN,0.6239
Phosphate,Creatinine,0.5486
DBP,SBP,0.5397
PaCO2,HCO3,0.5387
BUN,Phosphate,0.5341
EtCO2,PaCO2,0.4304
pH,HCO3,0.4008
Potassium,Phosphate,0.3791
Lactate,Phosphate,0.3614
BaseExcess,PaCO2,0.3525
Platelets,Fibrinogen,0.3386
Lactate,PTT,0.3285
AST,Lactate,0.3119
EtCO2,HCO3,0.288
Creatinine,Potassium,0.2677
Potassium,BUN,0.2609
Temp,HR,0.2589
Temp,Fibrinogen,0.2557
Glucose,Lactate,0.2534
ICULOS,Bilirubin_total,0.2389
DBP,Hct,0.2364
Calcium,HCO3,0.2343
BUN,Bilirubin_direct,0.2342
HR,Resp,0.226
Magnesium,BUN,0.2254
Hct,Calcium,0.2165
Hgb,DBP,0.2087
Temp,pH,0.2056
Hgb,Calcium,0.2016
Calcium,BaseExcess,0.1998
Temp,EtCO2,0.1898
Age,BUN,0.1846
Alkalinephos,Bilirubin_total,0.1787
MAP,Hct,0.1778
Bilirubin_total,AST,0.1776
Platelets,EtCO2,0.1765
Fibrinogen,EtCO2,0.1678
BaseExcess,EtCO2,0.1634
Potassium,Magnesium,0.1625
O2Sat,Chloride,0.1592
TroponinI,Lactate,0.1589
ICULOS,BaseExcess,0.1545
ICULOS,Bilirubin_direct,0.1536
Bilirubin_total,BUN,0.1532
Platelets,WBC,0.1525
BaseExcess,SBP,0.1512
PTT,TroponinI,0.1502
pH,ICULOS,0.1495
MAP,Hgb,0.1494
Phosphate,AST,0.1489
Bilirubin_direct,Phosphate,0.1487
Temp,BaseExcess,0.1485
Lactate,HR,0.1447
AST,Bilirubin_direct,0.1431
Alkalinephos,Bilirubin_direct,0.1399
Platelets,Hct,0.1377
Fibrinogen,pH,0.1351
Magnesium,Phosphate,0.1339
Lactate,Resp,0.1337
HR,WBC,0.1323
HR,DBP,0.1294
Alkalinephos,Lactate,0.1264
BaseExcess,Fibrinogen,0.1238
Hgb,HospAdmTime,0.1237
ICULOS,BUN,0.1227
SBP,pH,0.1226
FiO2,Phosphate,0.1216
TroponinI,FiO2,0.1211
Temp,Resp,0.1209
Bilirubin_total,Phosphate,0.1203
Hct,Fibrinogen,0.1199
TroponinI,AST,0.1198
Gender,Hgb,0.1184
ICULOS,HCO3,0.1183
Creatinine,Magnesium,0.118
Alkalinephos,BUN,0.1169
HospAdmTime,Hct,0.116
PTT,Bilirubin_direct,0.1145
Calcium,Platelets,0.1135
pH,O2Sat,0.1133
Lactate,Creatinine,0.1132
Resp,Fibrinogen,0.1122
BaseExcess,MAP,0.1112
Hgb,TroponinI,0.1097
Phosphate,PTT,0.1092
ICULOS,Fibrinogen,0.106
SaO2,SBP,0.106
Bilirubin_direct,Magnesium,0.1039
O2Sat,SaO2,0.1032
Hct,EtCO2,0.1021
WBC,FiO2,0.102
Magnesium,ICULOS,0.1011
Gender,TroponinI,0.099
Lactate,WBC,0.0988
HCO3,Fibrinogen,0.0983
Resp,ICULOS,0.098
pH,SaO2,0.097
Lactate,Potassium,0.0969
PaCO2,Phosphate,0.0962
Hct,SBP,0.0945
pH,MAP,0.0944
AST,Alkalinephos,0.0942
TroponinI,Hct,0.094
Platelets,HCO3,0.0928
EtCO2,Calcium,0.0916
Potassium,Gender,0.0911
pH,Bilirubin_direct,0.0902
SaO2,MAP,0.0901
Bilirubin_total,Magnesium,0.09
EtCO2,ICULOS,0.0899
Alkalinephos,Fibrinogen,0.0893
SBP,EtCO2,0.089
DBP,Platelets,0.0872
BUN,Glucose,0.087
Potassium,PaCO2,0.0857
ICULOS,Temp,0.0854
Phosphate,Alkalinephos,0.0843
Glucose,HR,0.0836
Chloride,FiO2,0.0834
EtCO2,MAP,0.0829
PaCO2,Platelets,0.082
pH,Calcium,0.0817
WBC,Potassium,0.0814
Bilirubin_total,pH,0.0813
Gender,BUN,0.0811
DBP,BaseExcess,0.0801
Lactate,Bilirubin_total,0.0799
Temp,HCO3,0.0793
Platelets,BaseExcess,0.0792
Hct,Gender,0.0792
BUN,PTT,0.079
Phosphate,Calcium,0.079
Creatinine,SBP,0.0787
PaCO2,Calcium,0.0786
Platelets,Hgb,0.0783
Fibrinogen,Hgb,0.0782
Glucose,WBC,0.0775
AST,PTT,0.0775
